epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.2478,0.76614,22.7249,1.18002,0.96252,0.74442,0.91665,0.67765,0.83925,16.5981,1.57064,0.000548972,0.000548972,0.000548972
2,22.5653,0.88547,17.0603,1.24458,0.84387,0.86957,0.8926,0.6146,1.03385,18.4453,1.56948,0.00108277,0.00108277,0.00108277
3,28.5667,0.91515,15.3585,1.25752,0.75528,0.78261,0.81872,0.60027,0.8588,27.8302,1.3532,0.00159456,0.00159456,0.00159456
4,34.5614,0.91523,14.4033,1.24855,0.94501,0.99637,0.98221,0.68622,0.93764,12.5969,1.49148,0.00156798,0.00156798,0.00156798
5,40.5645,0.89927,12.5672,1.23074,0.98541,0.9789,0.99444,0.77795,0.78331,8.54476,1.47497,0.00153497,0.00153497,0.00153497
6,46.5351,0.92869,12.3104,1.25289,0.95752,0.98551,0.97252,0.74495,0.86023,8.99775,1.28069,0.00150197,0.00150197,0.00150197
7,52.927,0.87616,11.0238,1.21062,0.81936,0.89855,0.93109,0.55419,1.19737,14.5375,1.72631,0.00146896,0.00146896,0.00146896
8,58.8641,0.83531,10.1801,1.19965,0.98541,0.97907,0.99431,0.78915,0.73491,6.57087,1.29253,0.00143595,0.00143595,0.00143595
9,64.835,0.81629,10.0334,1.17993,0.98215,0.98551,0.99359,0.76206,0.79855,8.49357,1.31505,0.00140295,0.00140295,0.00140295
10,71.087,0.8335,9.34058,1.19355,0.99793,1,0.995,0.78621,0.77156,6.08739,1.34886,0.00136994,0.00136994,0.00136994
11,77.3126,0.82784,9.30089,1.19295,0.99812,1,0.995,0.79288,0.76212,5.68051,1.34129,0.00133693,0.00133693,0.00133693
12,83.31,0.80507,9.30745,1.17659,0.99834,0.95652,0.99281,0.82501,0.73858,7.02668,1.25588,0.00130393,0.00130393,0.00130393
13,89.5529,0.77704,8.57208,1.15758,0.95757,0.98138,0.98438,0.82293,0.6234,5.91478,1.13417,0.00127092,0.00127092,0.00127092
14,95.5183,0.78997,8.29454,1.16597,0.99549,0.98551,0.99341,0.81632,0.69575,6.09305,1.17677,0.00123791,0.00123791,0.00123791
15,101.741,0.77017,8.11512,1.15803,0.99368,0.98551,0.99458,0.83554,0.6283,5.31388,1.12924,0.00120491,0.00120491,0.00120491
16,107.77,0.75652,7.79561,1.14931,0.95707,0.97101,0.99186,0.8254,0.62755,5.57766,1.14675,0.0011719,0.0011719,0.0011719
17,113.691,0.71855,8.02893,1.11285,0.95658,0.95788,0.9912,0.77695,0.67071,7.31088,1.15141,0.00113889,0.00113889,0.00113889
18,119.757,0.71529,7.81706,1.11031,0.95442,1,0.99417,0.85721,0.58224,5.55376,1.13838,0.00110589,0.00110589,0.00110589
19,125.722,0.71385,7.69616,1.12945,0.98544,0.97101,0.9943,0.84915,0.56934,5.08518,1.10656,0.00107288,0.00107288,0.00107288
20,131.828,0.73021,7.58465,1.12473,0.99844,1,0.995,0.86279,0.58946,4.93657,1.11251,0.00103987,0.00103987,0.00103987
21,137.761,0.70006,7.13645,1.10852,0.98761,0.98551,0.99472,0.83832,0.60604,4.91969,1.17026,0.00100687,0.00100687,0.00100687
22,143.686,0.70552,7.15292,1.11398,0.914,0.98551,0.97968,0.81313,0.62064,5.62373,1.11557,0.000973861,0.000973861,0.000973861
23,149.845,0.71723,7.46127,1.12101,0.96879,1,0.99359,0.85615,0.5746,4.85264,1.10054,0.000940855,0.000940855,0.000940855
24,155.813,0.69768,7.16804,1.10722,0.99909,1,0.995,0.8768,0.53706,4.58684,1.04051,0.000907848,0.000907848,0.000907848
25,161.815,0.68874,6.69315,1.0966,0.99431,1,0.995,0.85929,0.54838,4.70952,1.06847,0.000874842,0.000874842,0.000874842
26,167.811,0.65948,6.75548,1.08057,1,0.98456,0.99445,0.86949,0.54095,4.36032,1.06447,0.000841835,0.000841835,0.000841835
27,174.078,0.68115,6.75678,1.09571,1,0.99849,0.995,0.86507,0.53583,4.47094,1.07192,0.000808828,0.000808828,0.000808828
28,180.072,0.64238,6.40065,1.0695,0.99359,0.98551,0.99432,0.86069,0.55963,4.79933,1.11246,0.000775822,0.000775822,0.000775822
29,186.065,0.65917,6.54148,1.09096,0.99921,1,0.995,0.86923,0.51993,4.1165,1.04879,0.000742815,0.000742815,0.000742815
30,192.052,0.6596,6.27322,1.08639,0.9941,0.98551,0.99321,0.85993,0.51396,4.39563,1.03992,0.000709809,0.000709809,0.000709809
31,197.954,0.65641,6.30447,1.08243,0.99875,0.98551,0.9942,0.89352,0.49531,3.85963,1.01266,0.000676802,0.000676802,0.000676802
32,203.908,0.60103,5.85938,1.05504,0.95735,0.97593,0.98917,0.85457,0.52472,4.72959,1.05189,0.000643795,0.000643795,0.000643795
33,210.168,0.63485,6.08819,1.08284,0.99718,0.98551,0.99445,0.9025,0.4839,4.2191,1.00334,0.000610789,0.000610789,0.000610789
34,216.199,0.61988,5.7882,1.07225,0.99533,0.98551,0.99176,0.88755,0.48968,4.39816,1.03979,0.000577782,0.000577782,0.000577782
35,222.181,0.60215,5.56039,1.06176,0.9904,0.98551,0.99458,0.86479,0.51499,4.50757,1.03886,0.000544776,0.000544776,0.000544776
36,228.07,0.60226,5.47396,1.04825,0.99952,0.98551,0.99385,0.89126,0.46734,4.30722,1.00919,0.000511769,0.000511769,0.000511769
37,233.988,0.61478,5.43918,1.05229,1,0.99843,0.995,0.88382,0.50967,4.05696,1.06331,0.000478762,0.000478762,0.000478762
38,239.98,0.59289,5.32802,1.05139,0.99809,0.98551,0.99445,0.86568,0.53739,4.35376,1.09215,0.000445756,0.000445756,0.000445756
39,246.126,0.59579,5.38476,1.0537,0.99857,0.98551,0.99445,0.88626,0.48265,4.26331,1.02873,0.000412749,0.000412749,0.000412749
40,252.138,0.59582,5.32472,1.04868,0.9876,0.97101,0.99299,0.89489,0.44294,4.04871,0.97664,0.000379743,0.000379743,0.000379743
41,273.98,0.53535,4.42603,1.01497,0.99076,0.98551,0.99458,0.90534,0.4389,3.53717,0.962,0.000346736,0.000346736,0.000346736
42,280.188,0.50512,4.19292,1.00651,0.995,0.97101,0.99368,0.90038,0.45422,3.98992,0.97895,0.000313729,0.000313729,0.000313729
43,286.018,0.51187,4.25762,1.0057,0.99829,0.98551,0.99373,0.88589,0.4605,3.87854,0.98267,0.000280723,0.000280723,0.000280723
44,291.832,0.49828,3.89998,0.99741,0.99854,0.98551,0.99352,0.89894,0.43478,3.7099,0.95687,0.000247716,0.000247716,0.000247716
45,298.547,0.4872,3.78393,0.99403,0.99859,0.98551,0.99445,0.90786,0.40648,3.58336,0.93965,0.00021471,0.00021471,0.00021471
46,304.472,0.48031,3.91098,0.98606,0.99872,0.98551,0.99373,0.91854,0.40217,3.62462,0.93238,0.000181703,0.000181703,0.000181703
47,310.362,0.48234,3.74036,0.97688,0.99789,0.98551,0.99385,0.89461,0.41529,3.66527,0.934,0.000148696,0.000148696,0.000148696
