epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.3485,1.1779,22.1617,1.53168,0.8758,0.95652,0.93486,0.67958,0.89618,22.8541,1.37853,0.000658436,0.000658436,0.000658436
2,34.2743,1.16945,16.8444,1.519,0.75845,0.84058,0.9049,0.47838,1.30491,20.1851,1.81749,0.00129887,0.00129887,0.00129887
3,40.9256,1.23239,15.7123,1.53733,0.94353,0.9686,0.98093,0.55046,1.39311,13.6339,1.93363,0.0019129,0.0019129,0.0019129
4,46.7312,1.2552,14.864,1.54442,0.84676,0.88406,0.93273,0.66237,1.03708,12.8716,1.57524,0.0018812,0.0018812,0.0018812
5,52.7686,1.23739,13.4396,1.55631,0.96981,1,0.99444,0.63565,1.30674,10.0011,1.8032,0.0018416,0.0018416,0.0018416
6,58.6502,1.22802,13.2226,1.5516,0.98431,0.90946,0.96507,0.5247,1.40104,12.1578,2.12561,0.001802,0.001802,0.001802
7,65.13,1.17974,11.8686,1.48475,0.94396,0.9765,0.9919,0.68312,1.13351,9.62623,1.59217,0.0017624,0.0017624,0.0017624
8,71.8067,1.18408,11.8401,1.5071,0.78705,0.74996,0.87172,0.40463,1.65808,14.5526,2.14449,0.0017228,0.0017228,0.0017228
9,77.6818,1.19664,11.4685,1.4973,0.95977,1,0.98308,0.62939,1.34541,10.213,1.64254,0.0016832,0.0016832,0.0016832
10,83.6402,1.16179,11.2059,1.49036,0.98825,1,0.995,0.70331,1.09863,8.84243,1.55287,0.0016436,0.0016436,0.0016436
11,89.4998,1.10631,10.4256,1.43199,0.98541,0.97873,0.994,0.65957,1.18641,7.73302,1.52406,0.001604,0.001604,0.001604
12,95.3406,1.11714,10.6647,1.44234,0.96946,0.98551,0.98663,0.68753,1.15095,7.4489,1.5501,0.0015644,0.0015644,0.0015644
13,101.411,1.13984,10.3666,1.45497,0.9427,0.95377,0.97638,0.65286,1.29911,8.05894,1.80159,0.0015248,0.0015248,0.0015248
14,107.139,1.10766,9.99654,1.44788,0.96786,1,0.99218,0.63564,1.2407,8.26309,1.66704,0.0014852,0.0014852,0.0014852
15,113.176,1.09261,9.66012,1.4276,0.99846,1,0.995,0.597,1.30401,7.85844,1.72835,0.0014456,0.0014456,0.0014456
16,119.042,1.10386,9.33364,1.4217,0.99849,1,0.995,0.53495,1.62326,8.35526,1.92798,0.001406,0.001406,0.001406
17,124.798,1.0789,9.67604,1.41249,0.96673,1,0.99134,0.68374,1.08685,6.93983,1.43941,0.0013664,0.0013664,0.0013664
18,130.744,1.05787,9.22344,1.38448,0.99865,0.98551,0.99472,0.66075,1.22761,7.25778,1.60063,0.0013268,0.0013268,0.0013268
19,136.447,1.00588,8.6676,1.36008,0.98521,1,0.995,0.73245,1.03056,7.25326,1.37686,0.0012872,0.0012872,0.0012872
20,142.681,1.00105,8.36254,1.3638,0.99733,1,0.995,0.71294,0.99431,6.45689,1.37385,0.0012476,0.0012476,0.0012476
21,148.533,0.99815,8.58267,1.34048,0.99738,1,0.995,0.67214,0.98742,6.59866,1.46349,0.001208,0.001208,0.001208
22,154.301,1.04726,8.6733,1.34401,1,0.99781,0.995,0.78486,0.80913,5.81755,1.24674,0.0011684,0.0011684,0.0011684
23,160.368,0.99221,8.39767,1.35092,0.99588,1,0.995,0.73597,0.97025,6.23693,1.3236,0.0011288,0.0011288,0.0011288
24,166.449,0.94507,7.94995,1.32321,0.99953,1,0.995,0.68705,1.1676,5.80483,1.55338,0.0010892,0.0010892,0.0010892
25,172.392,0.9563,7.92327,1.3347,0.99586,1,0.995,0.73312,1.01449,6.57388,1.44267,0.0010496,0.0010496,0.0010496
26,179.401,0.9504,7.65736,1.31048,0.99654,1,0.995,0.74699,0.92336,5.82461,1.33211,0.00101,0.00101,0.00101
27,185.449,0.98045,7.83641,1.30949,0.99801,1,0.995,0.70388,1.05336,5.74837,1.45496,0.0009704,0.0009704,0.0009704
28,191.27,0.92295,7.68382,1.29666,0.98253,1,0.99286,0.68466,1.01278,6.296,1.36023,0.0009308,0.0009308,0.0009308
29,197.08,0.9347,7.62576,1.32036,0.99806,1,0.995,0.77526,0.84269,5.17247,1.25794,0.0008912,0.0008912,0.0008912
30,202.841,0.8949,7.52641,1.28299,0.99591,1,0.995,0.74518,1.011,5.84848,1.39022,0.0008516,0.0008516,0.0008516
31,208.647,0.87053,6.85044,1.26379,0.99803,1,0.995,0.76926,0.87794,5.43837,1.26586,0.000812,0.000812,0.000812
32,214.602,0.89625,7.21282,1.28296,0.99777,1,0.995,0.75404,0.93203,5.09783,1.32223,0.0007724,0.0007724,0.0007724
33,220.504,0.91335,7.23975,1.28072,0.99753,1,0.995,0.75681,0.91704,5.2644,1.2882,0.0007328,0.0007328,0.0007328
34,226.257,0.89597,7.11426,1.27322,0.99722,1,0.995,0.75539,0.87904,5.20933,1.30367,0.0006932,0.0006932,0.0006932
35,232.039,0.90635,7.25293,1.2883,0.98229,1,0.99471,0.75779,0.89625,6.01821,1.30934,0.0006536,0.0006536,0.0006536
36,237.834,0.89819,7.13192,1.29095,0.99597,1,0.995,0.78387,0.88858,5.48606,1.26443,0.000614,0.000614,0.000614
37,243.618,0.87576,6.81516,1.25617,0.99411,1,0.995,0.74909,0.96606,5.49329,1.35571,0.0005744,0.0005744,0.0005744
