epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,99.6722,3.18018,4.12139,4.20606,0.003,0.66667,0.01249,0.00375,2.60209,3.46201,4.0952,0.000542437,0.000542437,0.000542437
2,110.509,3.0488,3.65587,3.8743,0.00992,0.5942,0.04576,0.0151,2.49539,3.97664,3.61691,0.00107636,0.00107636,0.00107636
3,127.921,2.95739,3.23389,3.55079,0.10589,0.08696,0.08299,0.03116,2.43563,5.94311,3.54125,0.00158828,0.00158828,0.00158828
4,136.836,2.60795,2.87999,3.24475,0.45098,0.21436,0.25784,0.13019,2.13745,2.55257,3.66363,0.00156798,0.00156798,0.00156798
5,145.173,2.42135,2.69829,3.05644,0.13011,0.11594,0.07195,0.03699,1.95862,3.26429,3.27265,0.00153497,0.00153497,0.00153497
6,153.534,2.26373,2.4886,2.90765,0.46095,0.23188,0.23486,0.12479,1.76198,4.33478,2.83953,0.00150197,0.00150197,0.00150197
7,163.028,2.09039,2.23483,2.73249,0.54184,0.6087,0.58338,0.26725,1.85186,2.2062,2.73996,0.00146896,0.00146896,0.00146896
8,173.438,1.94613,2.055,2.58874,0.7165,0.58613,0.66704,0.36941,1.74654,2.25648,2.49926,0.00143595,0.00143595,0.00143595
9,180.871,1.81055,1.98713,2.47733,0.87045,0.77907,0.85853,0.49863,1.46532,1.60006,2.28576,0.00140295,0.00140295,0.00140295
10,191.543,1.67954,1.79992,2.32871,0.95191,0.71014,0.84451,0.48318,1.37959,1.29759,2.16243,0.00136994,0.00136994,0.00136994
11,201.442,1.61424,1.72288,2.26361,0.87605,0.76812,0.88546,0.5744,1.24078,1.2334,2.10936,0.00133693,0.00133693,0.00133693
12,210.418,1.54919,1.56611,2.16636,0.90985,0.73145,0.87953,0.58401,1.07618,1.4029,1.88441,0.00130393,0.00130393,0.00130393
13,227.185,1.43533,1.47395,2.04702,0.90472,0.82567,0.9408,0.66715,1.02866,1.05157,1.75487,0.00127092,0.00127092,0.00127092
14,242.617,1.3707,1.42415,2.00461,0.88534,0.89524,0.95331,0.65195,1.00998,1.09985,1.77427,0.00123791,0.00123791,0.00123791
15,265.716,1.30347,1.30386,1.91668,0.95577,0.9395,0.97098,0.7285,0.89316,0.93643,1.62244,0.00120491,0.00120491,0.00120491
16,286.574,1.30705,1.27668,1.92523,0.95906,0.86957,0.96135,0.74452,0.84955,0.87151,1.58561,0.0011719,0.0011719,0.0011719
17,310.869,1.24408,1.22059,1.87577,0.93671,0.92754,0.97682,0.75018,0.85108,0.82041,1.55385,0.00113889,0.00113889,0.00113889
18,28.4158,1.19311,1.16538,1.81169,0.87158,0.94203,0.97161,0.78271,0.72216,0.83023,1.39858,0.00110589,0.00110589,0.00110589
